symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2024-05-07 08:01:00+00:00,516.35,516.35,516.35,516.35,357.0,10.0,516.34591
SPY,2024-05-07 08:02:00+00:00,516.26,516.26,516.25,516.25,841.0,12.0,516.261807
SPY,2024-05-07 08:03:00+00:00,516.28,516.28,516.28,516.28,256.0,6.0,516.296445
SPY,2024-05-07 08:04:00+00:00,516.32,516.32,516.32,516.32,179.0,4.0,516.320168
SPY,2024-05-07 08:05:00+00:00,516.25,516.27,516.25,516.27,297.0,5.0,516.26064
SPY,2024-05-07 08:08:00+00:00,516.2,516.2,516.2,516.2,199.0,3.0,516.200402
SPY,2024-05-07 08:09:00+00:00,516.21,516.21,516.21,516.21,292.0,1.0,516.21
SPY,2024-05-07 08:12:00+00:00,516.26,516.26,516.26,516.26,180.0,5.0,516.259778
SPY,2024-05-07 08:17:00+00:00,516.45,516.5,516.45,516.5,606.0,8.0,516.483366
SPY,2024-05-07 08:20:00+00:00,516.54,516.64,516.54,516.64,611.0,8.0,516.573077
SPY,2024-05-07 08:21:00+00:00,516.64,516.64,516.64,516.64,420.0,6.0,516.636548
